int_z1_b2,int_z1_b3,int_z6_b0,int_z6_b1,norm_z1_b0,norm_z1_b2,norm_z1_b3,norm_z6_b0,norm_z6_b1,max_z1_b2,max_z1_b3,max_z3_b4,max_z6_b0,max_z6_b1,y
6.996730555295533,7.57703894760068,2.0282669855799,4.0364110971571385,3.799296651767517,6.79113581561666,7.296688044381835,2.5392668069370488,4.19771935060883,5.946264279351622,6.78922650482165,7.329027572589239,0.8961798066318009,2.9769343922622373,1
6.850761504758978,7.616353651582,1.9161365922111335,3.926664707404052,3.70933971786222,6.6784611144892745,7.334709090124293,2.6241389691929284,4.22707407016008,5.792618848871962,6.912981041785852,6.687535686645452,0.9095806282549934,2.899243315844099,1
6.732467236524045,7.756835975749603,1.9417517854347264,3.951491015843407,3.808842211042848,6.612112111414322,7.443474405817109,2.64540705870574,4.262285004786601,5.74284550122396,7.019356267672109,6.806564659640231,0.9470119890281128,3.071071477971826,1
6.814208981471704,7.645079027049218,1.937181073690456,3.982473760376749,3.844808651158812,6.639773526105304,7.335624284260288,2.5216083051749854,4.216956685103996,5.778243414759593,6.844396920553523,7.1502905467402735,1.003856731224077,2.980923803684611,1
6.75039494716007,7.621864458577938,2.0090353388173647,3.9315039002114975,3.739084724460781,6.714777127971722,7.344694296744648,2.5189978216224604,4.211469671169538,5.83446079448362,6.840490518988522,7.069095211734356,1.0138889311747628,3.0646178064149616,1
7.059609570324918,7.837075898705234,2.040781689951439,4.026850411494918,3.783552942333502,6.897165545308284,7.530807656734971,2.5667627745292667,4.271535776833004,5.943822992138374,7.011574739660404,6.98984344436173,1.0142871821792538,3.053546319545785,1
7.144197160678783,7.891331228984373,1.9521831697106613,4.06130038393109,3.7763371301652735,6.938760403271065,7.609969366864312,2.663031763668411,4.317466344093629,6.11242037345513,7.122405638472145,7.344148678060282,1.0788897286620645,3.037363297411192,1
6.827678584232665,7.65255998305776,2.228301236398248,4.215414563551996,3.762703289022454,6.741131038441964,7.38498236106153,2.506394687686394,4.3002514844618736,5.962935521471296,6.875990640520352,7.088398996699338,1.0025914007940455,2.9478388143487937,1
6.844039158078061,7.664670607763193,2.056852323624725,4.191153996262921,3.80057256028822,6.68826760339694,7.387025383385056,2.6373205437371388,4.372808307988412,5.738567533493907,6.914442464559694,7.185933593215627,1.0189388033344289,3.066047233140228,1
7.086157645489614,7.966773705336418,1.8004674214161105,3.995226732784035,3.759251913777231,6.956778535841528,7.677933000365892,2.48759596817835,4.17592136150543,5.966660710833707,7.232615116151297,7.206037555918376,0.9466762223855476,3.026147922923005,1
6.88251416935812,7.554405838339827,2.338981673399225,4.016313502260706,3.684743795462652,6.784378267838326,7.281699641503216,2.7379627446823216,4.237838267932039,6.066007256641455,6.887064171166509,7.114155037570197,1.1442613288351686,2.9284261525423068,1
7.000154612231376,7.867170782280683,1.9724941167309804,3.813859395936328,3.660895349126191,6.79467022012878,7.55092756003104,2.388514418101827,4.043356330155045,5.878303572346154,7.083470794649126,7.902446084086582,0.7950048739278202,2.675884539190282,1
7.047433099578065,7.991625583645392,2.1441088649468685,3.4068335815826587,5.192826304632472,6.904993913225395,7.674446773332834,2.6311923879752896,3.5420177016048817,5.85122772240177,7.25924781104444,7.721729468717808,1.1294566936629014,2.1297809751912067,1
6.848597385414216,8.218835976072887,1.5573649151244244,3.2450830145186846,4.690007214981556,6.7060210101263005,7.923772313610772,2.224645099176736,3.53106083634038,5.825531341149976,7.557950487250676,7.551345103573259,0.592185507511007,2.108326846252785,1
7.135911558396237,8.60367068094567,2.2940250294568125,3.4541166909327146,4.969585107385194,7.054155028823976,8.45883995119633,2.667849729577954,3.63086814792431,6.098495747388383,8.259980522360728,7.678789111122655,1.4946765301641805,2.3306171477304387,1
6.85933111281427,8.00496422114931,1.7413881075761934,2.988177478218247,4.879588027900057,6.721526489381402,7.685383876439439,2.4667686908878803,3.465099420704988,5.835425628872665,7.263827270185303,7.949176811835096,0.9416816553952778,2.098559163530049,1
6.969119526889957,7.732127675442626,1.1871473195204227,3.308417785992407,4.595065663153962,6.789158408886076,7.420056779345617,2.0917129223126567,3.514051115213983,5.848404167783458,7.040597851050219,7.562082256994032,0.3806873089048463,2.307723142402152,1
